name,category,cnet_url_check
Canon Pixma MG6120,Multifunction Ink-Jet Printers,https://www.cnet.com/reviews/canon-pixma-mg6120-review/#comments
LG OLED77CXPUA,OLED TVs,https://www.cnet.com/reviews/lg-oled77cxpua-review/#comments
Razer Raptor 27,,https://www.cnet.com/reviews/razer-raptor-27-review/#comments
"Motorola Razr (2020 Blush Gold, 128GB)",,https://www.cnet.com/reviews/motorola-razr-2020-review/#comments
Sennheiser Momentum True Wireless 2,,https://www.cnet.com/reviews/sennheiser-momentum-true-wireless-2-review/#comments
"Samsung Galaxy S10E (128GB, prism black)",4G Phones,https://www.cnet.com/reviews/samsung-galaxy-s10e-updated-review/#comments
Sony PlayStation VR (Headset),,https://www.cnet.com/reviews/sony-playstation-vr-review/#comments
Canon Pixma MX870,Multifunction Ink-Jet Printers,https://www.cnet.com/reviews/canon-pixma-mx870-review/#comments
Vizio V555-G4,LED TVs,https://www.cnet.com/reviews/vizio-v555-g4-review/#comments
Bose SoundLink Micro (Midnight Blue),Portable Speakers,https://www.cnet.com/reviews/bose-soundlink-micro-review/#comments
"Google Pixel 3 XL (64GB, not pink)",4G Phones,https://www.cnet.com/reviews/google-pixel-3-xl-review/#comments
Acer Predator XB2 XB272,LED Monitors,https://www.cnet.com/reviews/acer-predator-xb2-xb272-review/#comments
"Acer Nitro 5 (Intel Core i5 2.3 GHz, Nvidia GTX 1050)",Intel Notebooks,https://www.cnet.com/reviews/acer-nitro-5-review/#comments
HP Spectre x360 (10th Gen Core i7),,https://www.cnet.com/reviews/hp-spectre-x360-13-inch-2019-review/#comments
"Flex 5 (15"")",Intel Notebooks,https://www.cnet.com/reviews/lenovo-flex-5-15-inch-review/#comments
"Acer Aspire 5 (A515-54-51DJ - 15.6"" - Core i5 8265U - 8 GB RAM - 256 GB SSD - US International)",Intel Notebooks,https://www.cnet.com/reviews/acer-aspire-5-2019-review/#comments
Acer Swift 3 SF314-42-R9YN,AMD Notebooks,https://www.cnet.com/reviews/acer-swift-3-14-inch-2020-review/#comments
VIZIO V436-G1,LED TVs,https://www.cnet.com/reviews/vizio-v436-g1-review/#comments
DJI Phantom 3 Standard,Camera Drones,https://www.cnet.com/reviews/dji-phantom-3-standard-review/#comments
Dell SP2309W,,https://www.cnet.com/reviews/dell-sp2309w-series-review/#comments
Canon PIXMA MG7160,,https://www.cnet.com/reviews/canon-pixma-mg7160-review/#comments
Samsung Galaxy A01,,https://www.cnet.com/reviews/samsung-galaxy-a01-review/#comments
Yamaha YAS-209,Sound Bars,https://www.cnet.com/reviews/yamaha-yas-209-review/#comments
VIZIO V655-G9,LED TVs,https://www.cnet.com/reviews/vizio-v655-g9-review/#comments
Apple AirPods Pro,Headphones,https://www.cnet.com/reviews/apple-airpods-pro-review/#comments
Sony WH-XB900N Extra Bass (Black),Headphones,https://www.cnet.com/reviews/sony-wh-xb900n-extra-bass-review/#comments
Sonos Beam (Black),Sound Bars,https://www.cnet.com/reviews/sonos-beam-review/#comments
Apple HomePod (White),Smart Speakers,https://www.cnet.com/reviews/apple-homepod-review/#comments
Sony WH-1000XM3 (Silver),Headphones,https://www.cnet.com/reviews/sony-wh-1000xm3-review/#comments
Sennheiser Ambeo Soundbar,Sound Bars,https://www.cnet.com/reviews/sennheiser-ambeo-soundbar-review/#comments
"Lenovo Yoga C940-14IIL - 14"" - Core i7 1065G7 - 12 GB RAM - 512 GB SSD - US",Intel Notebooks,https://www.cnet.com/reviews/lenovo-yoga-c940-14-inch-review/#comments
HP Envy 4520 All-in-One Printer,Multifunction Ink-Jet Printers,https://www.cnet.com/reviews/hp-envy-4520-all-in-one-printer-review/#comments
Apple Thunderbolt Display,LED Monitors,https://www.cnet.com/reviews/apple-thunderbolt-display-review/#comments
LG OLED65CXPUA,OLED TVs,https://www.cnet.com/reviews/lg-oled65cxpua-review/#comments
"Apple MacBook Air 2020 (13-inch, space gray)",Apple Notebooks,https://www.cnet.com/reviews/apple-macbook-air-2020-review/#comments
DJI Phantom 4 Pro,Camera Drones,https://www.cnet.com/reviews/dji-phantom-4-pro-review/#comments
Dell XPS 13 (2019),Intel Notebooks,https://www.cnet.com/reviews/dell-xps-13-2019-review/#comments
Sonos Arc (Black),Sound Bars,https://www.cnet.com/reviews/sonos-arc-review/#comments
Dell XPS 13 (2020),Intel Notebooks,https://www.cnet.com/reviews/dell-xps-13-2020-review/#comments
Epson Expression ET-2500 EcoTank All-in-One Printer,Multifunction Ink-Jet Printers,https://www.cnet.com/reviews/epson-expression-et-2500-ecotank-all-in-one-printer-review/#comments
VIZIO V705-G3,LED TVs,https://www.cnet.com/reviews/vizio-v705-g3-review/#comments
Dell U2713HM,LED Monitors,https://www.cnet.com/reviews/dell-u2713hm-review/#comments
VIZIO V405-G9,LED TVs,https://www.cnet.com/reviews/vizio-v405-g9-review/#comments
Beats Powerbeats Pro (Black),Headphones,https://www.cnet.com/reviews/beats-powerbeats-pro-review-review/#comments
Galaxy A51 (Black),4G Phones,https://www.cnet.com/reviews/galaxy-a51-review-samsung-beats-the-iphone-se-in-these-important-ways-review/#comments
Microsoft Surface Book 3,Tablet Computers,https://www.cnet.com/reviews/microsoft-surface-book-3-review/#comments
"Apple iPad Pro 2020 (12.9-inch, 128GB, space gray)",Tablet Computers,https://www.cnet.com/reviews/apple-ipad-pro-2020-12-9-inch-review/#comments
Bose QuietComfort 35 II (Black),Headphones,https://www.cnet.com/reviews/bose-quietcomfort-35-ii-review/#comments
Samsung Galaxy A50,4G Phones,https://www.cnet.com/reviews/samsung-galaxy-a50-verizon-still-one-of-the-best-budget-phones-review/#comments
Dell UltraSharp 3007WFP,LCD Monitors,https://www.cnet.com/reviews/dell-ultrasharp-3007wfp-review/#comments
"Samsung Galaxy Tab A (8-inch, titanium)",Tablet Computers,https://www.cnet.com/reviews/samsung-galaxy-tab-a-8-inch-review/#comments
Elac Debut 2.0 B6.2,Right / Left Channel Speakers,https://www.cnet.com/reviews/elac-debut-2-0-b6-2-review/#comments
Samsung Galaxy Buds Plus (Black),Headphones,https://www.cnet.com/reviews/samsung-galaxy-buds-plus-review/#comments
Samsung Galaxy Buds (Black),Headphones,https://www.cnet.com/reviews/samsung-galaxy-buds-review/#comments
Vizio V21,Sound Bars,https://www.cnet.com/reviews/vizio-v21-review/#comments
"Apple iPhone XS (64GB, space gray)",iPhone,https://www.cnet.com/reviews/apple-iphone-xs-review/#comments
Dell Wireless Laser Printer B1160w,Monochrome Laser Printers,https://www.cnet.com/reviews/dell-wireless-laser-printer-b1160w-review/#comments
"Apple iPad 2018 (space gray, 32GB)",Tablet Computers,https://www.cnet.com/reviews/apple-ipad-2018-9-7-inch-review/#comments
HP Stream 14-ax010nr,Intel Notebooks,https://www.cnet.com/reviews/hp-stream-14-ax010nr-review/#comments
ThinkPad X1 Carbon (7th Gen),,https://www.cnet.com/reviews/thinkpad-x1-carbon-7th-gen-review/#comments
VIZIO SB3621N-E8,Sound Bars,https://www.cnet.com/reviews/vizio-sb3621n-e8-review/#comments
Vizio SB36512-F6,Sound Bars,https://www.cnet.com/reviews/vizio-sb36512-f6-review/#comments
HP Color LaserJet 2605dtn,Color Laser Printers,https://www.cnet.com/reviews/hp-color-laserjet-2605-review/#comments
VIZIO V605-G3,LED TVs,https://www.cnet.com/reviews/vizio-v605-g3-review/#comments
VIZIO V505-G9,LED TVs,https://www.cnet.com/reviews/vizio-v505-g9-review/#comments
"Microsoft Surface Pro - 12.3"" - Core m3 7Y30 - 4 GB RAM - 128 GB SSD",Tablet Computers,https://www.cnet.com/reviews/microsoft-surface-pro-6-review/#comments
AOC C4008VU8,LED Monitors,https://www.cnet.com/reviews/aoc-c4008vu8-review/#comments
VIZIO V555-G1,LED TVs,https://www.cnet.com/reviews/vizio-v555-g1-review/#comments
Sony WF-1000XM3 (Black),Headphones,https://www.cnet.com/reviews/sony-wf-1000xm3-review/#comments
"Amazon Fire 7 (2019, sage)",,https://www.cnet.com/reviews/amazon-fire-7-2019-review/#comments
"Apple iPhone SE (64GB, White)",iPhone,https://www.cnet.com/reviews/new-iphone-se-2020-classic-design-modern-function-processing-power-399-dollar-budget-review/#comments
Microsoft Surface Pro 3,Tablet Computers,https://www.cnet.com/reviews/microsoft-surface-pro-3-review/#comments
Amazon Echo Show Second Generation (Charcoal),Smart Displays,https://www.cnet.com/reviews/amazon-echo-show-second-generation-review/#comments
"Google Nest Mini (2nd Gen, Chalk)",Smart Speakers,https://www.cnet.com/reviews/google-nest-mini-review/#comments
"Microsoft Surface Laptop 3 (13.5"", 8GB, Core i5, 256GB SSD, Platinum)",Intel Notebooks,https://www.cnet.com/reviews/microsoft-surface-laptop-3-13-5-inch-review/#comments
Lenovo Smart Display 10,Smart Displays,https://www.cnet.com/reviews/lenovo-smart-display-10-review/#comments
Moto G Stylus,,https://www.cnet.com/reviews/moto-g-stylus-looks-too-good-cost-300-review/#comments
"Google Pixel Slate - 12.3"" - Core m3 - 8 GB RAM - 64 GB SSD",Chromebooks,https://www.cnet.com/reviews/google-pixel-slate-review/#comments
Lenovo Yoga C930 (81EQ000MUS),Intel Notebooks,https://www.cnet.com/reviews/lenovo-yoga-c930-review/#comments
Moto G Power,,https://www.cnet.com/reviews/motorola-moto-g-power-motorola-delivers-on-its-battery-life-promise-and-then-some-review/#comments
Dell Inspiron 14 5000 - DNCWL2514B,,https://www.cnet.com/reviews/dell-inspiron-14-5000-review/#comments
Google Pixel Buds 2 (2020),,https://www.cnet.com/reviews/google-pixel-buds-2-real-deal-in-depth-review/#comments
LG Gram 17 (2020),Intel Notebooks,https://www.cnet.com/reviews/lg-gram-17-2020-review/#comments
Dell 3100cn - printer - color - laser,Color Laser Printers,https://www.cnet.com/reviews/dell-3000cn-review/#comments
Razer Blade Stealth (2019),Ultrabooks,https://www.cnet.com/reviews/razer-blade-stealth-2019-review/#comments
Dell UltraSharp U2412m,LED Monitors,https://www.cnet.com/reviews/dell-ultrasharp-u2412m-review/#comments
Motorola Moto G7 (ceramic black),4G Phones,https://www.cnet.com/reviews/motorola-moto-g7-review/#comments
"Apple iPad 10.2-inch 2019 (space gray, 128GB)",Tablet Computers,https://www.cnet.com/reviews/apple-ipad-10-2-inch-2019-review/#comments
"Apple iPhone 11 (Black, 64GB)",iPhone,https://www.cnet.com/reviews/iphone-11-2019-battery-deep-fusion-review/#comments
LG OLED55CXPUA,OLED TVs,https://www.cnet.com/reviews/lg-oled55cxpua-review/#comments
Amazon Echo Studio,Smart Speakers,https://www.cnet.com/reviews/amazon-echo-studio-review/#comments
Afinia H-Series H479,3D Printers,https://www.cnet.com/reviews/afinia-h-series-h479-review/#comments
"Samsung Galaxy Tab S6 Lite - tablet - 64 GB - 10.4"" - 4G",Tablet Computers,https://www.cnet.com/reviews/samsung-galaxy-tab-s6-lite-review/#comments
"Apple Pro Display XDR Nano-texture glass - LED monitor - 32""",LED Monitors,https://www.cnet.com/reviews/apple-pro-display-xdr-review/#comments
Jabra Elite Active 65t (Copper Blue),Headphones,https://www.cnet.com/reviews/jabra-elite-active-65t-review/#comments
Audio-Technica ATH-M50xBT,Headphones,https://www.cnet.com/reviews/audio-technica-ath-m50xbt-review/#comments
Samsung CF791,LED Monitors,https://www.cnet.com/reviews/samsung-cf791-review/#comments
LG Velvet,,https://www.cnet.com/reviews/lg-velvet-review-a-chic-at-t-5g-phone-that-i-wish-would-step-it-up-a-little-more-verizon-review/#comments
Asus PA248Q,LED Monitors,https://www.cnet.com/reviews/asus-pa248q-review/#comments
VIZIO V556-G1,LED TVs,https://www.cnet.com/reviews/vizio-v556-g1-review/#comments
Bose SoundSport Wireless (Black),Headphones,https://www.cnet.com/reviews/bose-soundsport-wireless-review/#comments
Microsoft Surface Go (128GB),Tablet Computers,https://www.cnet.com/reviews/microsoft-surface-go-review/#comments
Samsung SyncMaster 2333SW 23-inch LCD Monitor,,https://www.cnet.com/reviews/samsung-syncmaster-2333sw-23-inch-lcd-monitor-review/#comments
Samsung SyncMaster 2333HD,LCD Monitors,https://www.cnet.com/reviews/samsung-syncmaster-2333hd-review/#comments
Canon ImageClass MP4690,B&W Multifunction Laser Printers,https://www.cnet.com/reviews/canon-imageclass-mp4690-review/#comments
Samsung SyncMaster P2770HD,LCD Monitors,https://www.cnet.com/reviews/samsung-syncmaster-p2770hd-review/#comments
Brother MFC-3340CN,Multifunction Ink-Jet Printers,https://www.cnet.com/reviews/brother-mfc-5840cn-review/#comments
"Apple iPad Pro (11-inch, Silver, 64GB, 2018)",Tablet Computers,https://www.cnet.com/reviews/apple-ipad-pro-2018-review/#comments
Samsung Galaxy S20 Ultra 5G - cosmic gray - 5G - 128 GB - CDMA / GSM - smartphone,3G Phones,https://www.cnet.com/reviews/galaxy-s20-ultra-5g-camera-zoom-review/#comments
Dell UltraSharp 27 U2717D,LED Monitors,https://www.cnet.com/reviews/dell-ultrasharp-27-u2717d-review/#comments
"Lenovo Yoga C740-14IML - 14"" - Core i5 10210U - 8 GB RAM - 256 GB SSD - US",Intel Notebooks,https://www.cnet.com/reviews/lenovo-yoga-c740-14-inch-review/#comments
"Apple iPhone XR (64GB, black)",iPhone,https://www.cnet.com/reviews/apple-iphone-xr-later-review/#comments
Bose Noise Cancelling Headphones 700 (Black),Headphones,https://www.cnet.com/reviews/bose-noise-cancelling-headphones-700-review/#comments
"Amazon Echo (2017,Sandstone Fabric)",,https://www.cnet.com/reviews/amazon-echo-2017-review/#comments
"Amazon Fire HD 8 Plus (32GB, w/Special Offers)",Tablet Computers,https://www.cnet.com/reviews/amazon-fire-hd-8-plus-review/#comments
Bose SoundSport Free (Black),Headphones,https://www.cnet.com/reviews/bose-soundsport-free-review/#comments
Epson AcuLaser CX11NF - multifunction printer - color,Color Multifunction Laser Printers,https://www.cnet.com/reviews/epson-ac-cx11-review/#comments
"Samsung Galaxy S20 5G (128GB, Cosmic Gray)",,https://www.cnet.com/reviews/galaxy-s20-5g-review-top-shelf-specs-but-plenty-of-room-for-refinement-review/#comments
Vizio V755-G4,LED TVs,https://www.cnet.com/reviews/vizio-v755-g4-review/#comments
DJI Spark (Sunrise Yellow),Camera Drones,https://www.cnet.com/reviews/dji-spark-review/#comments
be3D DeeGreen 3D Printer,,https://www.cnet.com/reviews/be3d-deegreen-3d-printer-review/#comments
LG OLED48CXPUB,,https://www.cnet.com/reviews/lg-oled48cxpub-review/#comments
Epson Expression Home XP-430 Multifunction Printer,Multifunction Ink-Jet Printers,https://www.cnet.com/reviews/epson-expression-home-xp-430-review/#comments
"Amazon Fire HD 8 (Twilight Blue, 32GB, 2020)",Tablet Computers,https://www.cnet.com/reviews/amazon-fire-hd-8-2020-review/#comments
Jabra Elite 75t (Titanium),Headphones,https://www.cnet.com/reviews/jabra-elite-75t-review/#comments
Brother HL-3170CDW,Color Laser Printers,https://www.cnet.com/reviews/brother-hl-3170cdw-review/#comments
TCL 55R625 (2019 Roku TV),LED TVs,https://www.cnet.com/reviews/tcl-55r625-2019-roku-tv-review/#comments
DJI Phantom 3 Advanced,,https://www.cnet.com/reviews/dji-phantom-3-advanced-review/#comments
Bose SoundLink Around-Ear Wireless Headphones II (Black),Headphones,https://www.cnet.com/reviews/bose-soundlink-around-ear-wireless-headphones-ii-review/#comments
Samsung Galaxy Tab S6,Tablet Computers,https://www.cnet.com/reviews/samsung-galaxy-tab-s6-review/#comments
DJI Phantom 4,Camera Drones,https://www.cnet.com/reviews/dji-phantom-4-review/#comments
"ASUS PB278Q - LED monitor - 27""",LED Monitors,https://www.cnet.com/reviews/asus-pb278q-led-monitor-27-review/#comments
Ikea Symfonisk Bookshelf WiFi Speaker,,https://www.cnet.com/reviews/ikea-symfonisk-bookshelf-wifi-speaker-review/#comments
"Google Pixel 4 XL (Just Black, 64GB)",4G Phones,https://www.cnet.com/reviews/google-pixel-4-xl-review-same-pros-cons-pixel-4-camera-battery-price-review/#comments
Anker Soundcore Liberty Air 2 (Black),,https://www.cnet.com/reviews/anker-soundcore-liberty-air-2-review/#comments
Alienware AW5520QF Monitor,,https://www.cnet.com/reviews/alienware-aw5520qf-monitor-review/#comments
VIZIO V656-G4,LED TVs,https://www.cnet.com/reviews/vizio-v656-g4-review/#comments
TCL 65R625 (2019 Roku TV),LED TVs,https://www.cnet.com/reviews/tcl-65r625-2019-roku-tv-review/#comments
Amazon Echo Show 8 (Charcoal),,https://www.cnet.com/reviews/amazon-echo-show-8-review/#comments
"Sonos One (Gen 2, Black)",Smart Speakers,https://www.cnet.com/reviews/sonos-one-review/#comments
Klipsch Reference R-51M,Right / Left Channel Speakers,https://www.cnet.com/reviews/klipsch-reference-r-51m-review/#comments
Microsoft Surface Pro 4,Tablet Computers,https://www.cnet.com/reviews/microsoft-surface-pro-4-review/#comments
Galaxy Note 10+ (Aura Glow),4G Phones,https://www.cnet.com/reviews/galaxy-note-10-plus-review-samsung-fantastic-screen-cameras-battery-life-raise-new-phone-to-the-top-review/#comments
Brother HL-L2395DW,B&W Multifunction Laser Printers,https://www.cnet.com/reviews/brother-hl-l2395dw-review/#comments
HP Spectre x360 (10th Gen Core i5),,https://www.cnet.com/reviews/hp-spectre-x360-13-late-2019-review/#comments
VIZIO V435-G0,LED TVs,https://www.cnet.com/reviews/vizio-v435-g0-review/#comments
